	encoder	sensor
154	0.0645819	0
155	0.0648072	0
156	0.0650322	0
157	0.0652575	0
158	0.0654822	0
159	0.0657066	0
160	0.0659313	0
161	0.0661559	0
162	0.0663803	0
163	0.0666053	0
164	0.06683	0
165	0.0670547	0
166	0.0672797	0
167	0.067505	0
168	0.06773	0
169	0.0679553	0
170	0.06818	0
171	0.0684047	0
172	0.06863	0
173	0.0688556	0
174	0.0690806	0
175	0.0693056	0
176	0.0695306	0
177	0.0697556	0
178	0.0699806	0
179	0.0702053	0
180	0.07043	0
181	0.0706547	0
182	0.0708794	0
183	0.0711041	0
184	0.0713288	0
185	0.0715531	0
186	0.0717778	0
187	0.0720025	0
188	0.0722275	0
189	0.0724525	0
190	0.0726778	0
191	0.0729034	0
192	0.0731284	0
193	0.0733531	0
194	0.0735791	0
195	0.0738047	0
196	0.0740303	0
197	0.0742556	0
198	0.0744809	0
199	0.0747056	0
200	0.0749309	0
201	0.0751556	0
202	0.0753803	0
203	0.0756047	0
204	0.0758291	0
205	0.0760538	0
206	0.0762784	0
207	0.0765031	0
208	0.0767278	0
209	0.0769528	0
210	0.0771775	0
211	0.0774028	0
212	0.0776278	0
213	0.0778531	0
214	0.0780781	0
215	0.0783028	0
216	0.0785287	0
217	0.0787544	0
218	0.07898	0
219	0.0792053	0
220	0.0794309	0
221	0.0796559	0
222	0.0798816	0
223	0.0801066	0
224	0.0803316	0
225	0.0805563	0
226	0.0807809	0
227	0.0810056	0
228	0.0812303	0
229	0.0814547	0
230	0.0816787	0
231	0.0819034	0
232	0.0821278	0
233	0.0823528	0
234	0.0825775	0
235	0.0828025	0
236	0.0830275	0
237	0.0832522	0
238	0.0834778	0
239	0.0837031	0
240	0.0839287	0
241	0.0841541	0
242	0.0843794	0
243	0.0846044	0
244	0.0848297	0
245	0.0850547	0
246	0.0852797	0
247	0.0855047	0
248	0.0857294	0
249	0.0859544	0
250	0.0861791	0
251	0.0864037	0
252	0.0866284	0
253	0.0868531	0
254	0.0870775	0
255	0.0873028	0
256	0.0875278	0
257	0.0877528	0
258	0.0879781	0
259	0.0882034	0
260	0.0884284	0
261	0.0886538	0
262	0.0888797	0
263	0.0891047	0
264	0.08933	0
265	0.0895553	0
266	0.0897806	0
267	0.0900056	0
268	0.0902306	0
269	0.0904553	0
270	0.09068	0
271	0.0909047	0
272	0.0911294	0
273	0.0913541	0
274	0.0915788	0
275	0.0918034	0
276	0.0920278	0
277	0.0922525	0
278	0.0924775	0
279	0.0927022	0
280	0.0929275	0
281	0.0931525	0
282	0.0933772	0
283	0.0936031	0
284	0.0938291	0
285	0.0940544	0
286	0.0942794	0
287	0.0945047	0
288	0.09473	0
289	0.0949553	0
290	0.0951803	0
291	0.095405	0
292	0.09563	0
293	0.0958544	0
294	0.0960794	0
295	0.0963041	0
296	0.0965284	0
297	0.0967528	0
298	0.0969772	0
299	0.0972019	0
300	0.0974269	0
301	0.0976519	0
302	0.0978772	0
303	0.0981022	0
304	0.0983269	0
305	0.0985528	0
306	0.0987781	0
307	0.0990034	0
308	0.0992284	0
309	0.0994537	0
310	0.0996784	0
311	0.0999041	0
312	0.100129	0
313	0.100355	0
314	0.10058	0
315	0.100804	0
316	0.10103	0
317	0.101255	0
318	0.101479	0
319	0.101704	0
320	0.101928	0
321	0.102153	0
322	0.102377	0
323	0.102602	0
324	0.102827	0
325	0.103052	0
326	0.103277	0
327	0.103503	0
328	0.103728	0
329	0.103954	0
330	0.104179	0
331	0.104404	0
332	0.104629	0
333	0.104855	0
334	0.10508	0
335	0.105305	0
336	0.10553	0
337	0.105755	0
338	0.10598	0
339	0.106205	0
340	0.10643	0
341	0.106654	0
342	0.106879	0
343	0.107104	0
344	0.107329	0
345	0.107554	0
346	0.107779	0
347	0.108003	0
348	0.108228	0
349	0.108453	0
350	0.108678	0
351	0.108904	0
352	0.109129	0
353	0.109354	0
354	0.109579	0
355	0.109804	0
356	0.110029	0
357	0.110254	0
358	0.110479	0
359	0.110704	0
360	0.110929	0
361	0.111154	0
362	0.111378	0
363	0.111603	0
364	0.111828	0
365	0.112052	0
366	0.112278	0
367	0.112503	0
368	0.112728	0
369	0.112953	0
370	0.113178	0
371	0.113403	0
372	0.113628	0
373	0.113854	0
374	0.114079	0
375	0.114304	0
376	0.114529	0
377	0.114754	0
378	0.114979	0
379	0.115204	0
380	0.115429	0
381	0.115654	0
382	0.115878	0
383	0.116103	0
384	0.116328	0
385	0.116553	0
386	0.116778	0
387	0.117003	0
388	0.117228	0
389	0.117453	0
